rank,title,author,publisher
1,가장 예쁜 생각을 너에게 주고 싶다,나태주,알에이치코리아(RHK)
2,공부머리 독서법,최승필,책구루
3,철학은 어떻게 삶의 무기가 되는가,야마구치 슈,다산초당
4,아주 작은 습관의 힘,제임스 클리어,비즈니스북스
5,내가 확실히 아는 것들,오프라 윈프리,북하우스
6,설민석의 한국사 대모험 9,설민석,아이휴먼
7,고요할수록 밝아지는 것들,혜민,수오서재
8,말센스 ,셀레스트 헤들리,스몰빅라이프
9,인어가 잠든 집,히가시노 게이고,재인
10,아이의 떼 거부 고집을 다루다,정유진,미스터제이
11,나는 나로 살기로 했다,김수현,마음의숲
12,에어프라이어 만능 레시피북,강지현,엔트리
13,"곰돌이 푸, 행복한 일은 매일 있어 (한정판 봄꽃 에디션)",곰돌이 푸,알에이치코리아(RHK)
14,대한민국 청약지도,정지영(아임해피),다산북스
15,수미네 반찬,김수미,성안당
16,꽃을 보듯 너를 본다,나태주,지혜
17,원펀맨 ONE PUNCH MAN 18,ONE,대원
18,버선발 이야기,백기완,오마이북
19,좋은지 나쁜지 누가 아는가,류시화,더숲
20,해커스 토익 기출 보카,David Cho,해커스어학연구소
21,팩트풀니스,한스 로슬링,김영사
22,그리스 로마 신화 10,박시연,아울북
23,2019 해커스 GSAT 삼성직무적성검사 실전모의고사,해커스 취업교육연구소,챔프스터디
24,우린 너무 몰랐다,김용옥,통나무
25,13번째 증언,윤지오,가연
26,[예약판매] 쓰레기처럼 사랑하라,김달,비사이드
27,아이를 위한 하루 한 줄 인문학,김종원,청림Life
28,당신이 옳다,정혜신,해냄
29,놓지 마 과학! 10,신태훈,위즈덤하우스
30,공부 마스터 플랜 ,조승우,포레스트북스
31,ETS 토익 정기시험 기출문제집 1000 READING 리딩,ETS,YBM(와이비엠)
32,추리 천재 엉덩이 탐정 7,트롤,미래엔아이세움
33,2019 선재국어 나침판 실전 모의고사 vol. 1,이선재,에스티유니타스
34,명견만리 공존의 시대 편,KBS 명견만리 제작팀,인플루엔셜
35,스즈키 바이올린 교본 1,세광음악출판사,세광음악출판사
36,ETS 토익 정기시험 기출문제집 1000 LISTENING 리스닝,ETS,YBM(와이비엠)
37,2019 이동기 영어 실전동형 모의고사 vol.1,이동기,에스티유니타스
38,요리조리 열어 보는 우리 몸,루이 스토웰,어스본코리아
39,나미야 잡화점의 기적,히가시노 게이고,현대문학
40,90년생이 온다,임홍택,웨일북
